32x aburner	冲破火网2 (欧洲)
sms slapshotb	曲棍球 (欧洲, v0)
sms slapshotp	击射冰球 (原型版)
sms smashtv	电视斗士 (欧洲)
sms smgp	超级摩纳哥GP赛车 (欧洲, 巴西)
sms smgp2	摩纳哥GP赛车2 (欧洲, 巴西, 韩国)
sms smgpp1	超级摩纳哥GP赛车 (欧洲, 原型版)
sms smgpp2	超级摩纳哥GP赛车 (欧洲, 早期 原型版)
sms smgpu	超级摩纳哥GP赛车 (美国)
sms smgpup	超级摩纳哥GP赛车 (美国, 原型版)
sms sms3samp	特别提升 M. 系统 III 小型版 (巴西, 样本)
sms smurfs	蓝精灵 (欧洲, 巴西)
sms smurfs2	蓝精灵 2 (欧洲)
sms smurfs2p	蓝精灵 2 (欧洲, 原型版)
sms sn_ateam	A字特攻队 (音乐 原型版)
sms sn_lwep3	致命武器 3 (音乐 原型版)
sms solomon	所罗门的钥匙 - 丽希塔公主之泪 (日本)
sms solomonp	所罗门的钥匙 - 丽希塔公主之泪 (原型版)
sms sonic	索尼克1 (欧洲, 美国, 巴西)
sms sonic2	索尼克2 (欧洲, 巴西, 韩国, v1)
sms sonic2a	索尼克2 (欧洲, 巴西, v0)
sms sonicbls	索尼克3D (巴西)
sms sonicc	刺猬索尼克混沌 (欧洲, 巴西)
sms sonicc630	刺猬索尼克混沌 (欧洲, "Ver 0.20", 原型版 19930630)
sms sonicc713	刺猬索尼克混沌 (欧洲, 原型版 19930713)
sms sonicedu	索尼克教育软件 (原型版)
sms sor	怒之铁拳 (欧洲, 巴西)
sms sor2	怒之铁拳2 (欧洲, 巴西)
sms spacegun	太空神枪 (欧洲)
sms speedbl	手球大战 (Image Works) (欧洲)
sms speedbl2	速度球2 (欧洲)
sms speedblv	手球大战 (Virgin) (欧洲, 美国)
sms spellcst	魔法使 (欧洲, 美国, 巴西)
sms spidermn	蜘蛛侠-六邪回归 (欧洲, 巴西)
sms spidking	蜘蛛侠对金并 (欧洲, 美国, 巴西)
sms sportsft	运动板美式足球 (美国)
sms sportssc	运动板足球 (日本)
sms spyvsspy	谍对谍 (欧洲, 美国, 巴西)
sms spyvsspyc	谍对谍 (欧洲, 美国, 巴西, Sega Card)
sms spyvsspyj	谍对谍 (日本, MyCard)
sms spyvsspyj1	谍对谍 (日本, 盗版?)
sms spyvsspyk	谍对谍 (韩国)
sms spyvsspys	谍对谍 (美国, Display Unit Sample)
sms spyvsspytw	谍对谍 (中国台湾)
sms ssinv	超级太空侵略者 (欧洲)
sms sspin	刺猬索尼克弹珠台 (欧洲, 巴西)
sms sspirits	争战之魂 (欧洲, 巴西)
sms starwars	星球大战 (欧洲, 巴西)
sms stennis	超级网球 (欧洲, 美国)
sms stennisc	超级网球 (欧洲, 美国, Sega Card)
sms strider	出击飞龙 (欧洲, 美国, 巴西, 韩国)
sms strider2	出击飞龙2-黑暗之旅 (欧洲, 巴西)
sms striderd	出击飞龙 (美国, Display Unit Sample)
sms strtmast	街头大师 (韩国)
sms submarin	潜艇大作战 (欧洲)
sms suhocheo	守护战士 (韩国)
sms sukeban	太妹刑事 II - 少女铁假面传说 (日本)
sms sumgames	夏季运动会 (欧洲)
sms sumgamesp	夏季运动会 (欧洲, 原型版)
sms sumgamesp1	夏季运动会 (欧洲, 早期 原型版)
sms superark	超级打砖块 (韩国)
sms superman	超人 (欧洲, 巴西)
sms superoff	超级越野 (欧洲)
sms superoffp	超级越野 (原型版)
sms superrac	超级赛车 (日本)
sms supgolf	超级高尔夫 (原型版)
sms suprbskt	超级篮球 (美国, CES demo)
sms suprbubl	超级泡泡龙 (韩国)
sms t2ag	魔鬼终结者2-街机版 (欧洲)
sms tazmania	古惑狼-寻找失落的海鸟 (欧洲, 巴西)
sms tazmaniap	古惑狼-寻找失落的海鸟 (欧洲, 原型版)
sms tazmars	古惑狼-逃离火星 (巴西)
sms tblade	迅雷之刃 (欧洲, 美国, 巴西)
sms tbladej	迅雷之刃 (日本)
sms tbladep	迅雷之刃 (原型版)
sms tecmow92	特库摩世界杯'92 (欧洲, 原型版)
sms tecmow93	Tecmo 世界杯 '93 (欧洲)
sms teddyboy	玩具男孩 (欧洲, 美国, 巴西)
sms teddyboyc	玩具男孩 (欧洲, 美国, 巴西, Sega Card)
sms teddyboyj	泰迪男孩布鲁斯 (日本, MyCard)
sms teddyboyj1	泰迪男孩布鲁斯 (日本, 盗版?)
sms teddyboyjp	泰迪男孩布鲁斯 (日本, Ep-MyCard, 原型版)
sms tennis	网球高手 (欧洲, 巴西)
sms term2	魔鬼终结者2-末日审判 (欧洲)
sms termntr	终结者 (欧洲)
sms termntrb	终结者 (巴西)
sms timesold	时空战士 (欧洲, 美国, 巴西)
sms tnzs	新西兰岛传说 (欧洲)
sms tomjermv	猫和老鼠-电影版 (欧洲, 巴西)
sms tomjerry	汤姆 & 杰瑞 (原型版)
sms totowld3	托托世界 3 (韩国)
sms transbot	变速机器人 (欧洲, 美国, 巴西)
sms transbotc	变速机器人 (欧洲, 美国, 巴西, Sega Card)
sms transbotp	变速机器人 (美国, 原型版)
sms trivial	棋盘问答 - 初版 (欧洲)
sms ttoriui	托罗历险记 (韩国)
sms tvcolos	热狗大冒险 (巴西)
sms ultima4	创世纪 IV - 圣者传奇 (欧洲, 巴西)
sms ultima4p	创世纪 IV - 圣者传奇 (欧洲, 原型版)
sms ultsoccr	终极足球 (欧洲, 巴西)
sms vampire	吸血鬼 (欧洲, 原型版)
sms vfa	VR战士迷你版 (巴西)
sms vigilant	义务警员 (欧洲, 美国, 巴西)
sms wanted	西部枪战 (欧洲, 美国, 巴西)
sms wboy	神奇男孩1 (欧洲, 美国, 巴西, v1)
sms wboy3	神奇男孩3-龙之陷阱 (欧洲, 美国, 韩国)
sms wboya	神奇男孩1 (欧洲, 韩国, v0) ~ Super Wonder Boy (日本, v0)
sms wboymlnd	冒险岛2 (欧洲, 美国)
sms wboymlnda	超级神奇小子 - 怪物世界 (日本, 修改版?)
sms wboymlndj	超级神奇小子 - 怪物世界 (日本)
sms wboymwld	怪物世界3 (欧洲, 韩国)
sms wboymwldp	怪物世界3 (欧洲, 原型版)
sms wclead	世界高尔夫排位赛 (欧洲, 巴西)
sms wcup90	世界冠军足球 (欧洲, 巴西)
sms wcup90d	世界冠军足球 (美国, 演示版)
sms wcup94	世界杯94 (欧洲, 巴西)
sms wimbled	温布顿网球 (欧洲)
sms wimbled2	温布尔登网球赛 II (欧洲, 巴西)
sms wimbledb	温布顿网球 (巴西)
sms wintol	冬季奥林匹克-利勒哈默尔'94 (欧洲)
sms wintolb	冬季奥林匹克-利勒哈默尔'94 (巴西)
sms wldgames	世界运动会 (欧洲, 巴西)
sms wldgamesp	世界运动会 (欧洲, 原型版)
sms wolfchld	狼童 (欧洲, 巴西)
sms wonsiin	原始人 (韩国)
sms woodypop	木头打砖块 - 新人类之方块崩塌 (日本, MyCard)
sms worldgp	世界赛车大奖赛 (欧洲)
sms worldgpp	世界赛车大奖赛 (美国, 原型版)
sms worldgpu	世界赛车大奖赛 (美国, 巴西, 韩国)
sms worldsoc	鲁迪拉莫斯-世界足球 (欧洲, 日本, 韩国) ~ Great Soccer (美国)
sms wpayton	沃尔特·佩顿美式足球赛 (美国)
sms wwfsteel	WWF世界摔角联盟-铁牢锦标赛 (欧洲, 巴西)
sms xenon2	氙2-超能爆炸 (Image Works) (欧洲)
sms xenon2v	氙2-超能爆炸 (Virgin) (欧洲)
sms xevious	微型铁板阵 (韩国)
sms xmenmojo	X战警-莫决世界 (巴西)
sms xyzolog	纵横标记 (韩国)
sms ys	伊苏 - 失落的古代王国 (欧洲, 美国, 巴西)
sms ysd	伊苏国 (美国, 演示版)
sms ysj	伊苏国 (日本)
sms zaxxon3d	立体空战 3-D (世界)
sms zaxxon3dp	立体空战 3-D (世界, 原型版)
sms zillion	兹利安 (欧洲, v2)
sms zillion2	兹利安 II - 三级形态 (欧洲, 美国) ~ Tri Formation (日本)
sms zillion2p	兹利安 II - 三级形态 (原型版)
sms zilliona	兹利安 (美国, v1)
sms zillionb	兹利安 (欧洲, v0) ~ Akai Koudan Zillion (日本, v0)
sms zool	真宝珠小子 (欧洲)
snes 2020bb	2020超级棒球 (美国)
snes 2020bbj	2020超级棒球 (日本)
snes 3ninja	忍者好小子 (美国)
snes 3x3eyesj	3x3只眼 - 兽魔奉还 (日本)
snes 3x3eyess	3x3只眼 - 圣魔降临传 (日本)
snes 46okunen	46亿年物语 - 遥远的伊甸园 (日本)
snes 4ninshog	四人将棋 (日本)
snes 7thsaga	时空引导者 (美国)
snes 90minute	90分钟-欧洲杯经典射门 (欧洲)
snes 90minutep	90分钟-欧洲杯经典射门 (欧洲, 原型版)
snes 96zenko	全国高校足球选手权'96 (日本)
snes aaahhrm	真实怪物 (欧洲)
snes aaahhrmu	真实怪物 (美国)
snes abcfoot	美国广播公司-周一橄榄球之夜 (美国)
snes abcfootj	美国广播公司-周一橄榄球之夜 (日本)
snes accelebr	荷载战机 (日本)
snes acenerae	网球争霸战 (日本)
snes acmeanim	顶级动画工厂 (欧洲)
snes acmeanimu	顶级动画工厂 (美国)
snes acrobatm	特技任务 (日本)
snes actpachi	进击柏青哥 (日本)
snes actrais2	雷莎出击2 (欧洲)
snes actrais2j	雷莎出击 2 - 沉默之圣战 (日本)
snes actrais2u	雷莎出击2 (美国)
snes actraisr	雷莎出击 (欧洲)
snes actraisrf	雷莎出击 (法国)
snes actraisrg	雷莎出击 (德国)
snes actraisrj	雷莎出击 (日本)
snes actraisru	雷莎出击 (美国)
snes addfam	亚当斯一家 (欧洲)
snes addfamj	亚当斯一家 (日本)
snes addfamu	亚当斯一家 (美国)
snes addfamv	亚当斯一家的准则 (欧洲)
snes addfamvp	亚当斯一家的准则 (原型版)
snes addfamvu	亚当斯一家的准则 (美国)
snes advbatr	蝙蝠侠与罗宾汉 (欧洲)
snes advbatru	蝙蝠侠与罗宾汉 (美国)
snes advisl	高桥名人的大冒险岛 (欧洲)
snes advisl2	高桥名人的大冒险岛2 (欧洲)
snes advisl2u	高桥名人的大冒险岛2 (美国)
snes advislu	高桥名人的大冒险岛 (美国)
snes aero	飞天蝙蝠 (欧洲)
snes aero2	飞天蝙蝠2 (欧洲)
snes aero2u	飞天蝙蝠2 (美国)
snes aerobiz	航空霸业 (美国)
snes aerobizs	航空霸业2-超音速 (美国)
snes aerofgt	音速之翼 (美国)
snes aerou	飞天蝙蝠 (美国)
snes agassi	安德烈阿加西-网球 (美国)
snes agassij	安德烈阿加西-网球 (日本)
snes agingcas	旧磁带 (日本)
snes aircaval	空骑兵 (欧洲)
snes aircavalu	空骑兵 (美国)
snes airdiver	超级空中霸王 (欧洲)
snes airdiverj	超级空中霸王 (日本)
snes airdivr2	超级空中霸王2 (日本)
snes airmanag	航空霸业 (日本, 修订版 A)
snes airmanaga	航空霸业 (日本)
snes airmang2	航空霸业2-超音速 (日本)
snes ajmajonm	赤川次郎-魔女的长眠 (日本)
snes ajmajonmnp	赤川次郎-魔女的长眠 (日本, 修订版 A, NP)
snes akazukin	小红帽恰恰 (日本)
snes akumajo	恶魔城 - 德古拉 (日本)
snes akumajoxx	恶魔城 - 德古拉 XX (日本)
snes aladdi2k	阿拉丁2000 (巴西, Mega Drive bootleg)
snes aladdi2kh	阿拉丁2000 (巴西, Mega Drive bootleg, 破解版)
snes aladdin	迪士尼阿拉丁 (欧洲)
snes aladdinf	迪士尼阿拉丁 (法国)
snes aladding	迪士尼阿拉丁 (德国)
snes aladdinj	迪士尼阿拉丁 (日本)
snes aladdins	迪士尼阿拉丁 (西班牙)
snes aladdinu	迪士尼阿拉丁 (美国)
snes aladdinua	迪士尼阿拉丁 (美国, 替换版)
snes aladdinup	迪士尼阿拉丁 (美国, 原型版)
snes albodys2	英雄圣战 2 - 邪神之胎动 (日本)
snes albodyss	英雄圣战 (日本)
snes alcahest	地底魔神 (日本)
snes aleste	太空超级武力 (欧洲)
snes alestej	太空超级武力 (日本)
snes alfred	神鸡阿尔佛雷德 (欧洲)
snes alfredu	神鸡阿尔佛雷德 (美国)
snes alicepnt	爱莉丝绘本大冒险 (日本)
snes alien3	外星人³ (欧洲)
snes alien3j	外星人³ (日本)
snes alien3u	外星人³ (美国)
snes alien3up	外星人³ (美国, 原型版)
snes allamcf	全美冠军橄榄球 (欧洲)
snes alunser	小艾尔弗雷德安瑟尔-顶点之路 (欧洲)
snes alunseru	小艾尔弗雷德安瑟尔-顶点之路 (美国)
snes amaznten	大卫克莱恩-惊奇网球 (欧洲)
snes amazntenj	大卫克莱恩-惊奇网球 (日本)
snes amazntenu	大卫克莱恩-惊奇网球 (美国)
snes amerglad	美国角斗士 (美国)
snes amoudan	美国横断极端问答 (日本)
snes andrindy	迈克尔安德雷蒂-印地赛车挑战赛 (美国)
snes andrindyj	迈克尔安德雷蒂-印地赛车挑战赛 (日本)
snes andrindyp	迈克尔安德雷蒂-印地赛车挑战赛 (美国, 原型版)
snes angeliq	安琪莉可 (日本)
snes angeliqv	安琪莉可-原声版 (日本)
snes animania	狂欢三宝 (欧洲)
snes animaniaj	狂欢三宝 (日本)
snes animaniau	狂欢三宝 (美国)
snes anotherw	逃离异世界 (欧洲)
snes aof	龙虎之拳 (欧洲)
snes aofu	龙虎之拳 (美国)
snes aokiden	足球风云 (日本)
snes aokidenp	足球风云 (日本, 原型版)
snes apoclyp2	启示录2 (欧洲, 原型版)
snes applesed	苹果核战记 (日本)
snes aquagame	詹姆斯庞德-疯狂运动会 (美国)
snes aquagamep	詹姆斯庞德-疯狂运动会 (美国, 原型版)
snes aqutal	群星的秘密 (日本)
snes arabian	天方夜谭-沙漠精灵王 (日本)
snes arabianp	天方夜谭-沙漠精灵王 (日本, 原型版)
snes araiguma	小浣熊拉斯卡尔 (日本)
snes arcadeac	街机经典-雅达利合集 (欧洲)
snes arcadeacu	街机经典-雅达利合集 (美国)
snes arcadegh	街机经典 (欧洲)
snes arcadeghu	街机经典 (美国)
snes arcana	卡片之主-瑞姆萨瑞亚的封印 (美国)
snes arcanap	卡片之主-瑞姆萨瑞亚的封印 (美国, 原型版)
snes arcus	阿卡斯冒险 (美国, 原型版)
snes arcusspi	亚克斯传说 (日本)
snes ardyligt	迅捷阿迪 (欧洲)
snes ardyligtj	迅捷阿迪 (日本)
snes ardyligtjp	迅捷阿迪 (日本, 原型版)
snes ardyligtu	迅捷阿迪 (美国)
snes area88	战区88 (日本)
snes aressh3	A列车3-超级版 (日本)
snes aretha	阿蕾莎 (日本)
snes aretha2	阿蕾莎 2 - アリエルの不思议な旅 (日本)
snes aretha2p1	阿蕾莎 2 - アリエルの不思议な旅 (日本, 原型版)
snes aretha2p2	阿蕾莎 2 - アリエルの不思议な旅 (日本, 早期 原型版)
snes arkanoid	打砖块 (欧洲)
snes arkanoidj	打砖块 (日本)
snes arkanoidu	打砖块 (美国)
snes asahishi	朝日新闻连载-加藤一二三九段将棋心技流 (日本)
snes asameshi	轻松猫 (日本)
snes ashnojoe	明日之乔 (日本)
snes asp	沙漠雄鹰-沙丘夺还战 (美国)
snes asterix	阿斯泰利克斯 (欧洲)
snes asterixp	美丽新世界 - 阿斯特瑞克斯 (原型版 19930311)
snes astralb	综合格斗技 (日本)
snes astralb2	综合格斗技2 (日本)
snes astralb3	综合格斗技3 (日本)
snes astrogo	原子冲锋 (日本)
snes atlas	地图集-文艺复兴航海家 (日本)
snes avsp	异形对铁血战士 (欧洲)
snes avspj	异形对铁血战士 (日本)
snes avspu	异形对铁血战士 (美国)
snes axelay	银河风暴 (欧洲)
snes axelayj	银河风暴 (日本)
snes axelayu	银河风暴 (美国)
snes axelayus	银河风暴 (美国, 样本)
snes backtof2	回到未来2 (日本)
snes bahamut	圣龙战记 (日本)
snes bahamuta	圣龙战记 (日本, 替换版)
snes bakukyuu	爆球连发-超级弹珠人 (日本)
snes bakumats	幕末降临传 (日本)
snes ballbull	球弹枪 (日本)
snes ballz3d	sd球美版 (美国)
snes ballz3dp	球 (原型版)
snes bam	泡泡龙 (美国)
snes banpija	睡衣香蕉 (亚洲)
snes banpijah	睡衣香蕉 (亚洲, 破解版)
snes barbaros	巴巴罗萨 (日本)
snes barbiesm	芭比-超级模特 (美国)
snes barbvac	芭比-假日冒险 (美国, 原型版)
snes barkley	巴克利-闭嘴打球 (欧洲)
snes barkleyj	巴克利-闭嘴打球 (日本)
snes barkleyu	巴克利-闭嘴打球 (美国)
snes bartnigh	辛普森一家 - 巴特的恶梦 (欧洲)
snes bartnighj	辛普森一家 - 巴特的恶梦 (日本)
snes bartnighu	辛普森一家 - 巴特的恶梦 (美国)
snes basload	超级职业棒球 (美国)
snes basload2	超级满垒2 (美国)
snes basload3	超级满垒3 (美国, 修订版 A)
snes basload3a	超级满垒3 (美国)
snes bassmc	经典鲈鱼大师 (美国)
snes bassmcj	经典鲈鱼大师 (日本)
snes bassmpro	经典鲈鱼大师-专业版 (欧洲)
snes bassmprou	经典鲈鱼大师-专业版 (美国)
snes bassusa	实战美国鲈鱼垂钓必胜法 (日本)
snes bastard	暗黑的破坏神 (日本)
snes batblaz	战斗光辉 (美国)
snes batblazj	战斗光辉 (日本)
snes batblazp	战斗光辉 (美国, 原型版)
snes batblazp1	战斗光辉 (原型版, 替换版)
snes batlcars	战斗赛车 (美国)
snes batlclsh	战斗冲锋 (欧洲)
snes batlclshu	战斗冲锋 (美国)
snes batlcomm	战斗指挥官-八武众修罗兵法 (日本)
snes batlmast	格斗大师 - 究极的格斗战士 (日本)
snes batlmobl	激突弹丸自动车决战 (日本)
snes batlpinb	战斗弹珠台 (日本)
snes batlrace	战斗赛手 (日本)
snes batlrobo	战斗机器人列传 (日本)
snes batlsoc2	战斗足球2 (日本)
snes batlsocr	战斗足球 (日本)
snes batlzequ	斗姬传 (日本)
snes batman	蝙蝠侠 (美国, 原型版)
snes batmanf	蝙蝠侠 - 永远的蝙蝠侠 (欧洲)
snes batmanfj	蝙蝠侠 - 永远的蝙蝠侠 (日本)
snes batmanfu	蝙蝠侠 - 永远的蝙蝠侠 (美国)
snes batmanrj	蝙蝠侠-小丑复仇 (美国, 原型版)
snes batmanrn	蝙蝠侠 - 重出江湖 (欧洲)
snes batmanrnj	蝙蝠侠 - 重出江湖 (日本)
snes batmanrnjp	蝙蝠侠 - 重出江湖 (日本, 原型版)
snes batmanrnu	蝙蝠侠 - 重出江湖 (美国)
snes batterup	超级毁击 (美国)
snes battldom	美国战斗穹顶 (日本)
snes battlegp	战斗国际长途赛车 (美国)
snes battlegpj	战斗国际长途赛车 (日本)
snes battlejo	战斗赛马 (日本)
snes battlety	战斗大亨-消焰 (日本, 修订版 A)
snes battletya	战斗大亨-消焰 (日本)
snes battlex	战斗交错 (日本)
snes battlsub	战斗潜艇 (日本)
snes bazoe	魔法世界 (日本)
snes bazooka	毁灭 (美国)
snes bbsim1k	超级模拟棒球1000 (美国)
snes bdodge	战斗躲避球-斗球大激突 (日本)
snes bdodge2	战斗躲避球2 (日本)
snes beavis	瘪四与大头蛋 (欧洲)
snes beavisu	瘪四与大头蛋 (美国)
snes bebekids	小顽童 (美国)
snes beethov	我家也有贝多芬欧版 (欧洲)
snes beethovu	我家也有贝多芬欧版 (美国)
snes beethovup	我家也有贝多芬欧版 (美国, 原型版 19930913)
snes benkei	弁庆外传 - 沙之章 (日本)
snes bestof	超级踢拳-王中王 (欧洲)
snes bestofp	超级踢拳-王中王 (欧洲, 原型版)
snes bestofu	超级踢拳-王中王 (美国)
snes bestshot	全力职业高尔夫 (日本)
snes bighurt	法兰克汤姆斯-痛击棒球 (欧洲)
snes bighurtj	法兰克汤姆斯-痛击棒球 (日本)
snes bighurtu	法兰克汤姆斯-痛击棒球 (美国)
snes bigpslo2	全力一击-柏青嫂大攻略2 (日本)
snes bigpslot	全力一击-柏青嫂大攻略 (日本)
snes bigrun	拉力大赛-顶级四驱挑战赛 (日本)
snes bigsky	天空骑兵 (欧洲)
snes bigskyp	天空骑兵 (原型版)
snes bigskyu	天空骑兵 (美国)
snes bigskyup	天空骑兵 (美国, 原型版)
snes bikedais	摩托最爱-漂移之魂 (日本)
snes bikermic	火星鼠骑士 (欧洲)
snes bikermicu	火星鼠骑士 (美国)
snes billlaim	比尔兰比尔-战斗篮球 (美国)
snes billwlsh	比尔沃尔什-大学橄榄球 (美国)
snes bingbing	呯呯宾果 (日本)
snes bingbingp	呯呯宾果 (日本, 原型版)
snes biometal	生化金属战机 (欧洲)
snes biometalj	生化金属战机 (日本)
snes biometalu	生化金属战机 (美国)
snes birdrush	超级小鸟球 (日本)
snes bishinzk	美神传说 (日本)
snes blackbas	超级黑鲈鱼2 (美国)
snes blackhwk	黑色荆棘 (欧洲)
snes blackthr	黑色荆棘 (美国)
snes blackthrj	黑色荆棘 (日本)
snes blackthrp	黑色荆棘 (美国, 原型版 CES 版本)
snes blazeon	究极合体战机 (美国)
snes blazeonj	究极合体战机 (日本)
snes blazsky	飞翼2-王牌战机 (欧洲)
snes blizyuki	美少女职业摔跤列传 (日本)
snes blockkuz	砖块破势 (日本)
snes bluecrys	蓝水晶之杖 (日本)
snes bluesb	布鲁斯兄弟 (欧洲)
snes bluesbj	布鲁斯兄弟 (日本)
snes bluesbp	布鲁斯兄弟 (欧洲, 原型版)
snes bluesbu	布鲁斯兄弟 (美国)
snes bob	鲍勃 (欧洲)
snes bobbywld	鲍比世界 (美国, 原型版)
snes bobu	鲍勃 (美国)
snes bof	龙战士-火焰之气息 (美国)
snes bof2	龙战士-火焰之气息2 (欧洲)
snes bof2j	龙战士-火焰之气息2 (日本)
snes bof2jnp	龙战士-火焰之气息2 (日本, 修订版 A, NP)
snes bof2u	龙战士-火焰之气息2 (美国)
snes bof2up	龙战士-火焰之气息2 (美国, 原型版)
snes bofj	火焰气息 - 龙战士 (日本, 修订版 A)
snes bofja	火焰气息 - 龙战士 (日本)
snes bokujom	牧场物语 (日本, 修订版 A)
snes bokujom1	牧场物语 (日本)
snes bombbdam	炸弹人-弹珠人 (日本)
snes bombuzal	爆破精灵 (日本)
snes booger	鼻涕超人 (欧洲)
snes boogeru	鼻涕超人 (美国)
snes boogerup	鼻涕超人 (美国, 原型版)
snes bountysw	赏金之剑 (日本)
snes bountyswp	赏金之剑 (日本, 原型版 19950516)
snes boxinglg	铃声之拳击传说 (欧洲)
snes boxinglgu	铃声之拳击传说 (美国)
snes boxinglgup	铃声之拳击传说 (美国, 原型版)
snes brainies	头脑爆破 (欧洲)
snes brainiesu	头脑爆破 (美国)
snes brainlrd	智慧王者 (美国)
snes brainlrdj	智慧王者 (日本)
snes brand2ex	星间游侠 2 - 专家版 (日本)
snes brand2pb	星间游侠 2 - 星际霸主 (日本)
snes brandish	星间游侠 (美国)
snes brandishj	星间游侠 (日本)
snes brassnum	末日战士 (日本)
snes brawlbro	快速打击-乱-复制都市 (欧洲)
snes brawlbrou	快速打击-乱-复制都市 (美国)
snes breaktru	突破 (美国)
snes bretth	布雷特赫尔-冰球 (欧洲)
snes bretth95	布雷特赫尔-冰球'95 (美国)
snes bretthu	布雷特赫尔-冰球 (美国)
snes bronkie	布朗基亚-哮喘恐龙 (美国)
snes brunswck	不伦瑞克世界冠军锦标赛 (美国)
snes brutal	动物武乱传-野蛮无情 (欧洲)
snes brutalj	动物武乱传-野蛮无情 (日本)
snes brutalu	动物武乱传-野蛮无情 (美国)
snes brutalup	动物武乱传-野蛮无情 (美国, 原型版)
snes bsxsore	卫星放送-盗名之街物语 (日本, 修订版 AB)
snes btec3050	机械战士3050 (日本)
snes btech	机械战士 (日本)
snes btoads	忍者蛙 (欧洲)
snes btoadsdd	忍者蛙与双截龙 (欧洲)
snes btoadsddu	忍者蛙与双截龙 (美国)
snes btoadsj	忍者蛙 (日本)
snes btoadsu	忍者蛙 (美国)
snes btoadsup	忍者蛙 (美国, 原型版)
snes bubsy	巴比斯 (欧洲, Accolade)
snes bubsy2	巴比斯2 (欧洲)
snes bubsy2u	巴比斯2 (美国)
snes bubsya	巴比斯 (欧洲, Nintendo)
snes bubsyj	巴比斯 (日本)
snes bubsyu	巴比斯 (美国)
snes bubsyup1	巴比斯 (美国, 最终 原型版)
snes bubsyup2	巴比斯 (美国, 原型版)
snes bugsbhac	兔巴哥大冒险 (日本)
snes bugsbrab	宾尼兔 (欧洲)
snes bugsbrabu	宾尼兔 (美国)
snes bugslife	臭虫的一生 (巴西)
snes bugslifeh	臭虫的一生 (巴西, 破解版)
snes bullvsbl	公牛对开拓者-美职篮季后赛 (欧洲, 修订版 A)
snes bullvsbl1	公牛对开拓者-美职篮季后赛 (欧洲)
snes bullvsblu	公牛对开拓者-美职篮季后赛 (美国, 修订版 A)
snes bullvsblu1	公牛对开拓者-美职篮季后赛 (美国)
snes bumpjima	暴投-动物大混战 (日本)
snes burai	八玉勇士传说 (日本)
snes burnhero	热血大陆 (日本)
snes bushisei	青龙传 - 二人之勇者 (日本)
snes cacoma	乐园骑士 (美国)
snes cacomaj	乐园骑士 (日本)
snes calgame2	加州游戏2 (欧洲)
snes calgame2j	加州游戏2 (日本)
snes calgame2u	加州游戏2 (美国)
snes calripkn	小卡尔瑞普金-棒球 (欧洲)
snes calripknu	小卡尔瑞普金-棒球 (美国)
snes calripknup	小卡尔瑞普金-棒球 (美国, 原型版)
snes cameltry	转球迷宫 (日本)
snes cantona	世界足球'94-荣耀之路 (法国)
snes capcomss	J联盟激情舞台'94 (美国)
snes capcomssp	J联盟激情舞台'94 (美国, 原型版)
snes captaven	美国队长与复仇者联盟 (欧洲)
snes captavenu	美国队长与复仇者联盟 (美国)
snes captcomm	名将 (欧洲)
snes captcommj	名将 (日本)
snes captcommu	名将 (美国)
snes captcommup	名将 (美国, 最终 原型版)
snes captnovo	诺和灵上尉 (美国)
snes captnovop	诺和灵上尉 (原型版)
snes caravan	娱乐射击合集 (日本)
snes cardmstr	魔幻精灵卡 (日本)
snes carmntim	神偷卡门在何时? (美国)
snes carmnwld	神偷卡门在何地? (欧洲)
snes carmnwldu	神偷卡门在何地? (美国)
snes carrier	神风特攻队 (欧洲)
snes carrierj	神风特攻队 (日本)
snes carrieru	神风特攻队 (美国)
snes casinobr	赌城攻略 (日本)
snes casper	鬼精灵卡斯伯 (欧洲)
snes casperj	鬼精灵卡斯伯 (日本)
snes casperu	鬼精灵卡斯伯 (美国)
snes cbchara	永井豪的Q版世界 (日本)
snes cdalecup	越野自行车拉力赛-佳能戴尔杯 (美国)
snes cfodder	炮灰 (欧洲)
snes champool	台球冠军赛 (欧洲)
snes champoolu	台球冠军赛 (美国)
snes champs94	意识足球-欧洲冠军 (美国)
snes champwcs	冠军-世界级足球 (欧洲)
snes champwcsj	冠军-世界级足球 (日本)
snes champwcsu	冠军-世界级足球 (美国)
snes chaoseed	风水迴廊记 (日本)
snes chaoseng	混乱引擎 (欧洲)
snes chavez	查维斯 (美国)
snes chavez2	查维斯2 (美国)
snes chavezp	查维斯 (美国, 原型版)
snes chessmst	国际象棋大师 (欧洲)
snes chessmstj	国际象棋大师 (日本)
snes chessmstu	国际象棋大师 (美国)
snes chester	猎豹切斯特-超酷玩笑 (美国)
snes chesterw	猎豹切斯特-寻求野性 (美国)
snes chesterwp	猎豹切斯特-寻求野性 (美国, 原型版)
snes chibimha	樱桃小丸子-365天日记 (日本)
snes chibimme	樱桃小丸子-游乐南国岛 (日本)
snes chibimmes	樱桃小丸子-游乐南国岛 (日本, 样本)
snes chinhai	陈牌 (日本)
snes choaniki	超兄贵 - 爆裂乱斗篇 (日本)
snes chodora	超魔界大战 (日本)
snes chodorap	超魔界大战 (日本, 原型版 19921221)
snes chomakai	超魔界村 (日本)
snes choplft3	直升机3-生存营救 (欧洲)
snes choplft3j	直升机3-生存营救 (日本)
snes choplft3u	直升机3-生存营救 (美国)
